FID,knooppuntnummer,regio,provincie,puntid,last_edited_date,soort_knooppunt,wkb_geometry
wandelknooppunten_vrij_wgs84.106,71,"Duin, Horst en Weide",Zuid-Holland,177678,2019-11-20T11:13:34,knooppunt,POINT (4.382907868000075 52.08296410200006)
wandelknooppunten_vrij_wgs84.107,45,"Duin, Horst en Weide",Zuid-Holland,177677,2019-11-20T11:13:34,knooppunt,POINT (4.41317138200003 52.13618885500006)
wandelknooppunten_vrij_wgs84.108,39,"Duin, Horst en Weide",Zuid-Holland,177676,2019-11-20T11:13:34,knooppunt,POINT (4.400922636000075 52.14050332000005)
wandelknooppunten_vrij_wgs84.109,57,"Duin, Horst en Weide",Zuid-Holland,177675,2019-11-20T11:13:34,knooppunt,POINT (4.476479784000048 52.09669691400006)
wandelknooppunten_vrij_wgs84.110,55,"Duin, Horst en Weide",Zuid-Holland,177674,2019-11-20T11:13:34,knooppunt,POINT (4.448695570000041 52.09531349900004)
wandelknooppunten_vrij_wgs84.111,56,"Duin, Horst en Weide",Zuid-Holland,177673,2019-11-20T11:13:34,knooppunt,POINT (4.470511291000037 52.09571086100004)
wandelknooppunten_vrij_wgs84.112,83,"Duin, Horst en Weide",Zuid-Holland,177672,2019-11-20T11:13:34,knooppunt,POINT (4.41730522000006 52.10062905500007)
wandelknooppunten_vrij_wgs84.113,82,"Duin, Horst en Weide",Zuid-Holland,177671,2019-11-20T11:13:34,knooppunt,POINT (4.41876867700006 52.10276463900004)
wandelknooppunten_vrij_wgs84.114,57,"Duin, Horst en Weide",Zuid-Holland,177670,2019-11-20T11:13:34,knooppunt,POINT (4.290432536000026 52.108364695000034)
wandelknooppunten_vrij_wgs84.115,61,"Duin, Horst en Weide",Zuid-Holland,177669,2019-11-20T11:13:34,knooppunt,POINT (4.305590023000036 52.117738330000066)
wandelknooppunten_vrij_wgs84.116,59,"Duin, Horst en Weide",Zuid-Holland,177668,2019-11-20T11:13:34,knooppunt,POINT (4.293799179000075 52.113700624000046)
wandelknooppunten_vrij_wgs84.117,45,"Duin, Horst en Weide",Zuid-Holland,177667,2019-11-20T11:13:34,knooppunt,POINT (4.298797507000074 52.10676960700005)
wandelknooppunten_vrij_wgs84.118,35,"Duin, Horst en Weide",Zuid-Holland,177666,2019-11-20T11:13:34,knooppunt,POINT (4.41815353100003 52.15495773200007)
wandelknooppunten_vrij_wgs84.119,63,"Duin, Horst en Weide",Zuid-Holland,177665,2019-11-20T11:13:34,knooppunt,POINT (4.293842604000076 52.11355180100003)
wandelknooppunten_vrij_wgs84.120,23,"Duin, Horst en Weide",Zuid-Holland,177663,2019-11-20T11:13:34,knooppunt,POINT (4.348581715000023 52.09933730900008)
wandelknooppunten_vrij_wgs84.121,28,"Duin, Horst en Weide",Zuid-Holland,177662,2019-11-20T11:13:34,knooppunt,POINT (4.325777637000044 52.08805287200005)
wandelknooppunten_vrij_wgs84.122,33,"Duin, Horst en Weide",Zuid-Holland,177661,2019-11-20T11:13:34,knooppunt,POINT (4.429154892000042 52.11737699300005)
wandelknooppunten_vrij_wgs84.123,62,"Duin, Horst en Weide",Zuid-Holland,194327,2019-12-05T12:00:17,knooppunt,POINT (4.404549024000062 52.07836729200005)
wandelknooppunten_vrij_wgs84.124,36,"Duin, Horst en Weide",Zuid-Holland,177659,2019-11-20T11:13:34,knooppunt,POINT (4.425785780000069 52.11992537000003)
wandelknooppunten_vrij_wgs84.125,86,"Duin, Horst en Weide",Zuid-Holland,177658,2019-11-20T11:13:34,knooppunt,POINT (4.426913137000042 52.12077755700005)
wandelknooppunten_vrij_wgs84.126,12,"Duin, Horst en Weide",Zuid-Holland,218189,2020-02-17T09:40:18,knooppunt,POINT (4.302327344000048 52.12542371100005)
wandelknooppunten_vrij_wgs84.127,50,"Duin, Horst en Weide",Zuid-Holland,177656,2019-11-20T11:13:34,knooppunt,POINT (4.433590844000037 52.125573433000056)
wandelknooppunten_vrij_wgs84.128,33,"Duin, Horst en Weide",Zuid-Holland,177655,2019-11-20T11:13:34,knooppunt,POINT (4.3601460720000205 52.10387330300006)
wandelknooppunten_vrij_wgs84.129,31,"Duin, Horst en Weide",Zuid-Holland,177654,2019-11-20T11:13:34,knooppunt,POINT (4.432593311000062 52.11567020000007)
wandelknooppunten_vrij_wgs84.130,69,"Duin, Horst en Weide",Zuid-Holland,177653,2019-11-20T11:13:34,knooppunt,POINT (4.327327290000028 52.08585317700005)
wandelknooppunten_vrij_wgs84.131,47,"Duin, Horst en Weide",Zuid-Holland,177652,2019-11-20T11:13:34,knooppunt,POINT (4.44216096100007 52.122010051000075)
wandelknooppunten_vrij_wgs84.132,84,"Duin, Horst en Weide",Zuid-Holland,177651,2019-11-20T11:13:34,knooppunt,POINT (4.426993542000048 52.10851094700007)
wandelknooppunten_vrij_wgs84.133,32,"Duin, Horst en Weide",Zuid-Holland,177650,2019-11-20T11:13:34,knooppunt,POINT (4.430263445000037 52.11716957500005)
wandelknooppunten_vrij_wgs84.134,55,"Duin, Horst en Weide",Zuid-Holland,177649,2019-11-20T11:13:34,knooppunt,POINT (4.3021413100000245 52.10616575800003)
wandelknooppunten_vrij_wgs84.135,53,"Duin, Horst en Weide",Zuid-Holland,177648,2019-11-20T11:13:34,knooppunt,POINT (4.308375118000072 52.10698470800003)
wandelknooppunten_vrij_wgs84.136,51,"Duin, Horst en Weide",Zuid-Holland,177647,2019-11-20T11:13:34,knooppunt,POINT (4.466041730000029 52.125276273000054)
wandelknooppunten_vrij_wgs84.137,31,"Duin, Horst en Weide",Zuid-Holland,177646,2019-11-20T11:13:34,knooppunt,POINT (4.388198146000036 52.15722079100004)
wandelknooppunten_vrij_wgs84.138,43,"Duin, Horst en Weide",Zuid-Holland,177645,2019-11-20T11:13:34,knooppunt,POINT (4.402512129000058 52.13962489100004)
wandelknooppunten_vrij_wgs84.139,63,"Duin, Horst en Weide",Zuid-Holland,177644,2019-11-20T11:13:34,knooppunt,POINT (4.3985187270000665 52.08015095700006)
wandelknooppunten_vrij_wgs84.140,81,"Duin, Horst en Weide",Zuid-Holland,177643,2019-11-20T11:13:34,knooppunt,POINT (4.308886571000073 52.10880118500006)
wandelknooppunten_vrij_wgs84.141,21,"Duin, Horst en Weide",Zuid-Holland,177642,2019-11-20T11:13:34,knooppunt,POINT (4.329810882000061 52.10962462500004)
wandelknooppunten_vrij_wgs84.142,89,"Duin, Horst en Weide",Zuid-Holland,177641,2019-11-20T11:13:34,knooppunt,POINT (4.412714415000039 52.113729643000056)
wandelknooppunten_vrij_wgs84.143,85,"Duin, Horst en Weide",Zuid-Holland,177640,2019-11-20T11:13:34,knooppunt,POINT (4.418967928000029 52.11480851500005)
wandelknooppunten_vrij_wgs84.144,78,"Duin, Horst en Weide",Zuid-Holland,177639,2019-11-20T11:13:34,knooppunt,POINT (4.3736196130000735 52.09192204300007)
wandelknooppunten_vrij_wgs84.145,86,"Duin, Horst en Weide",Zuid-Holland,177638,2019-11-20T11:13:34,knooppunt,POINT (4.34245891300003 52.091551406000065)
wandelknooppunten_vrij_wgs84.146,62,"Duin, Horst en Weide",Zuid-Holland,177637,2019-11-20T11:13:34,knooppunt,POINT (4.2993465980000565 52.09878773200006)
wandelknooppunten_vrij_wgs84.147,26,"Duin, Horst en Weide",Zuid-Holland,177636,2019-11-20T11:13:34,knooppunt,POINT (4.340976579000028 52.09609877300005)
wandelknooppunten_vrij_wgs84.148,72,"Duin, Horst en Weide",Zuid-Holland,177635,2019-11-20T11:13:34,knooppunt,POINT (4.335959954000032 52.09377701400007)
wandelknooppunten_vrij_wgs84.149,66,"Duin, Horst en Weide",Zuid-Holland,177634,2019-11-20T11:13:34,knooppunt,POINT (4.323580979000042 52.08894386400004)
wandelknooppunten_vrij_wgs84.150,19,"Duin, Horst en Weide",Zuid-Holland,177633,2019-11-20T11:13:34,knooppunt,POINT (4.321788591000029 52.14130927900004)
wandelknooppunten_vrij_wgs84.151,18,"Duin, Horst en Weide",Zuid-Holland,177632,2019-11-20T11:13:34,knooppunt,POINT (4.330900659000065 52.13532502600003)
wandelknooppunten_vrij_wgs84.152,16,"Duin, Horst en Weide",Zuid-Holland,218186,2020-02-17T09:37:44,knooppunt,POINT (4.332647000000065 52.133656493000046)
wandelknooppunten_vrij_wgs84.153,15,"Duin, Horst en Weide",Zuid-Holland,177630,2019-11-20T11:13:34,knooppunt,POINT (4.329282210000031 52.132908642000075)
wandelknooppunten_vrij_wgs84.154,14,"Duin, Horst en Weide",Zuid-Holland,177629,2019-11-20T11:13:34,knooppunt,POINT (4.328586593000068 52.13390434300004)
wandelknooppunten_vrij_wgs84.155,13,"Duin, Horst en Weide",Zuid-Holland,177628,2019-11-20T11:13:34,knooppunt,POINT (4.326775867000038 52.13381149400004)
wandelknooppunten_vrij_wgs84.156,92,"Duin, Horst en Weide",Zuid-Holland,177627,2019-11-20T11:13:34,knooppunt,POINT (4.389482198000053 52.12695880600006)
wandelknooppunten_vrij_wgs84.157,37,"Duin, Horst en Weide",Zuid-Holland,177626,2019-11-20T11:13:34,knooppunt,POINT (4.422446339000032 52.151824789000045)
wandelknooppunten_vrij_wgs84.158,73,"Duin, Horst en Weide",Zuid-Holland,177625,2019-11-20T11:13:34,knooppunt,POINT (4.3685483590000445 52.07006465000006)
wandelknooppunten_vrij_wgs84.159,44,"Duin, Horst en Weide",Zuid-Holland,177624,2019-11-20T11:13:34,knooppunt,POINT (4.406809002000045 52.13800327000007)
wandelknooppunten_vrij_wgs84.160,32,"Duin, Horst en Weide",Zuid-Holland,177623,2019-11-20T11:13:34,knooppunt,POINT (4.393138435000026 52.16102419900005)
wandelknooppunten_vrij_wgs84.161,17,"Duin, Horst en Weide",Zuid-Holland,177622,2019-11-20T11:13:34,knooppunt,POINT (4.33819059800004 52.122629965000044)
wandelknooppunten_vrij_wgs84.162,95,"Duin, Horst en Weide",Zuid-Holland,177621,2019-11-20T11:13:34,knooppunt,POINT (4.340420336000022 52.12308333100003)
wandelknooppunten_vrij_wgs84.163,94,"Duin, Horst en Weide",Zuid-Holland,177620,2019-11-20T11:13:34,knooppunt,POINT (4.352198334000036 52.13074917500006)
